panel,cancer,model,n_slides,TLS_R2,TLS_spearman,TLS_pearson,TLS_ICC,TLS_MAE,GC_R2,GC_spearman,GC_pearson,GC_ICC,GC_MAE,cls3_F1_macro,cls3_F1_weighted,cls4_F1_macro,cls4_F1_weighted
A,ALL,Cascade v3.7,165,0.7068646621653325,0.9093562951721138,0.8658056269509042,0.8022514732504417,4.121212121212121,0.9114702483431995,0.9081076790532012,0.9579507631578157,0.9508197261537955,0.22424242424242424,0.8254845754845754,0.8284466284466286,0.7414494289494289,0.749705167886986
A,ALL,Cascade v3.11,165,0.7494465101892878,0.9088609416241075,0.8746749882430376,0.8417121019139295,4.024242424242424,0.9056331218603335,0.8926750079995011,0.9575157818381881,0.9461027124822975,0.23636363636363636,0.7763116942683506,0.7822746110671808,0.689979763665621,0.698873838263985
A,ALL,GNCAF v3.62,165,-2.165691795231753,0.7167270516869733,0.541950145966125,0.2618373403304144,21.181818181818183,-0.11489115822740015,0.1236938687234818,0.1378324818920503,0.0031558457401385798,0.9696969696969697,0.398760391417542,0.39814796497155774,0.3171319336291994,0.31702777017827544
A,ALL,GNCAF v3.65,165,-4.260912271865004,0.7755039089717355,0.5244085576708615,0.14561086122058595,27.963636363636365,0.29468054998702864,0.726616854797783,0.5844175422377218,0.559250911894665,0.7454545454545455,0.5032973154823703,0.44596924434862195,0.37577163781684864,0.37983786694289134
A,ALL,seg_v2.0 (dual),166,0.8271274234268113,0.8850362027947687,0.9278466513964183,0.9166680243071962,4.740963855421687,0.757010111892452,0.7642516802149664,0.8711757710701769,0.8671005364305621,0.5301204819277109,0.6793468187773625,0.6886072908256552,0.6055478718355503,0.6100054777136451
A,BLCA,Cascade v3.7,52,0.8361193994080358,0.9124606055083773,0.9225461495291403,0.9025416339698318,3.076923076923077,0.81064209274673,0.923212304526841,0.9073053280907193,0.8881729091153175,0.28846153846153844,0.7869252705183797,0.7883071604359545,0.6902833597206999,0.7193180505200966
A,BLCA,Cascade v3.11,52,0.8417274807971145,0.906526254496218,0.9201088386631162,0.9102302454912423,3.1538461538461537,0.7913198573127229,0.8903526871446463,0.8991270690388508,0.8754240738227711,0.34615384615384615,0.7220093656875267,0.72669220945083,0.6479885057471264,0.6800397877984085
A,BLCA,GNCAF v3.62,52,-8.126840900648284,0.636824491267982,0.30613590785111516,-0.015987242304409798,21.26923076923077,-0.2559453032104637,0.16239751558685755,0.053114072152786594,-0.09877361617500824,1.1346153846153846,0.30652557319223983,0.27275132275132274,0.2618233618233618,0.24505807582730657
A,BLCA,GNCAF v3.65,52,-14.763537884507075,0.6420189242644939,0.3268040459299291,-0.1045406797856986,30.173076923076923,0.34690844233055884,0.832826849912113,0.6681518085442417,0.4995645357951576,0.75,0.42672759339426003,0.33790283790283787,0.325998075998076,0.33698708698708696
A,BLCA,seg_v2.0 (dual),53,0.4583449501637973,0.8817304282967097,0.9105063104208941,0.8162437149722991,5.716981132075472,0.5847359257109692,0.8811954640180969,0.7992467551516592,0.8012738853503185,0.6415094339622641,0.5866666666666667,0.5798382749326146,0.5204861111111111,0.5206611260856544
A,KIRC,Cascade v3.7,50,0.8150807899461401,0.8675258676409687,0.9208074599885102,0.8839756778813549,1.12,0.9300209937018894,0.8990624122413111,0.9679076886342386,0.9622931896883417,0.04,0.9153439153439153,0.8793650793650793,0.8767857142857143,0.8461428571428571
A,KIRC,Cascade v3.11,50,0.8402154398563735,0.8549020394860449,0.9189972210510121,0.9101556464322871,1.12,0.9300209937018894,0.8990624122413111,0.9679076886342386,0.9622931896883417,0.04,0.8121212121212121,0.8189090909090909,0.7839522546419098,0.7833103448275862
A,KIRC,GNCAF v3.62,50,-19.168761220825854,0.5939290427980545,0.7069968547266132,0.04409420377940403,14.64,0.09027291812456262,0.4468649785545553,0.52529182961703,0.159075907590759,0.2,0.2919518576661434,0.35402951334379906,0.24787545787545787,0.2779750915750916
A,KIRC,GNCAF v3.65,50,-33.69658886894075,0.7606392390680798,0.734602337472625,0.03248171677397862,17.68,0.47515745276417076,0.7892808409807878,0.7942829359067474,0.5751445086705202,0.14,0.402930402930403,0.4931868131868131,0.31737053795877324,0.43468074409250873
A,KIRC,seg_v2.0 (dual),50,0.09964093357271098,0.7830378162164202,0.9154030247841037,0.7624233810932575,2.54,0.3002099370188943,0.7622647798723581,0.7062095586307776,0.3844221105527638,0.16,0.631336405529954,0.664147465437788,0.6119473777983233,0.6152271162282286
A,LUSC,Cascade v3.7,63,0.6226520252990415,0.8828170170223859,0.8271142653893944,0.739904165076212,7.365079365079365,0.9426464563703401,0.907884764957525,0.9733626744812446,0.9691350342252646,0.31746031746031744,0.6568219273137307,0.8129003878418398,0.5661930363543266,0.6961524394704118
A,LUSC,Cascade v3.11,63,0.6807653912497487,0.8880914392064653,0.8393393806287756,0.7930931543112757,7.0476190476190474,0.9412126177795985,0.9102161944174878,0.9758179723574784,0.9671856040069191,0.30158730158730157,0.5729107715525372,0.7783616747963097,0.4697368421052631,0.6347535505430242
A,LUSC,GNCAF v3.62,63,-1.2008909516771373,0.7040848953074883,0.5534408064693264,0.30636326742826187,26.3015873015873,-0.13990167963949207,0.009814972143019952,0.12506522942109446,0.00775037745344739,1.4444444444444444,0.42358752701451063,0.5764369759429964,0.3060443037974684,0.446843480008037
A,LUSC,GNCAF v3.65,63,-2.5147752646487165,0.7333237660772377,0.5303720130343716,0.1667419232480593,34.301587301587304,0.2242933224088487,0.611731156220191,0.5550982053093754,0.5510974304068521,1.2222222222222223,0.45672824035397125,0.5205636077259581,0.3055133808756997,0.40577421879469266
A,LUSC,seg_v2.0 (dual),63,0.8819120847722487,0.9039951766701416,0.9408096934114933,0.9391756372074455,5.666666666666667,0.8250716919295371,0.6702252199713303,0.9110865072677229,0.9009104604702953,0.7301587301587301,0.6556053423382471,0.8113173706394047,0.5585688058748404,0.6899617871840095
